No,Cement,Slag,Fly ash,Water,SP,Coarse Aggr.,Fine Aggr.,Air Entrainment,Compressive Strength (28-day)(Mpa)
1,273,82,105,210,9,904,680,No, 34.990 
2,163,149,191,180,12,843,746,Yes, 32.272 
3,162,148,191,179,16,840,743,Yes, 35.450 
4,162,148,190,179,19,838,741,No, 42.080 
5,154,112,144,220,10,923,658,No, 26.820 
6,147,89,115,202,9,860,829,Yes, 18.107 
7,152,139,178,168,18,944,695,No, 38.860 
8,145,0,227,240,6,750,853,Yes, 27.519 
9,152,0,237,204,6,785,892,No, 32.710 
10,304,0,140,214,6,895,722,No, 38.460 
11,145,106,136,208,10,751,883,No, 26.020 
12,148,109,139,193,7,768,902,Yes, 20.938 
13,142,130,167,215,6,735,836,Yes, 24.665 
14,354,0,0,234,6,959,691,Yes, 27.470 
15,374,0,0,190,7,1013,730,No, 32.440 
16,159,116,149,175,15,953,720,Yes, 27.315 
17,153,0,239,200,6,1002,684,No, 28.290 
18,295,106,136,206,11,750,766,Yes, 30.857 
19,310,0,143,168,10,914,804,Yes, 41.949 
20,296,97,0,219,9,932,685,Yes, 20.730 
21,305,100,0,196,10,959,705,Yes, 22.212 
22,310,0,143,218,10,787,804,No, 36.190 
23,148,180,0,183,11,972,757,Yes, 10.685 
24,146,178,0,192,11,961,749,Yes, 12.131 
25,142,130,167,174,11,883,785,No, 36.720 
26,140,128,164,183,12,871,775,No, 33.380 
27,308,111,142,217,10,783,686,No, 42.080 
28,295,106,136,208,6,871,650,No, 39.400 
29,298,107,137,201,6,878,655,No, 41.270 
30,314,0,161,207,6,851,757,No, 41.140 
31,321,0,164,190,5,870,774,Yes, 40.200 
32,349,0,178,230,6,785,721,No, 43.950 
33,366,0,187,191,7,824,757,No, 52.650 
34,274,89,115,202,9,759,827,No, 35.520 
35,137,167,214,226,6,708,757,Yes, 28.935 
36,275,99,127,184,13,810,790,No, 43.540 
37,252,76,97,194,8,835,821,Yes, 24.585 
38,165,150,0,182,12,1023,729,No, 18.260 
39,158,0,246,174,7,1035,706,Yes, 29.552 
40,156,0,243,180,11,1022,698,Yes, 25.821 
41,145,177,227,209,11,752,715,Yes, 29.349 
42,154,141,181,234,11,797,683,Yes, 26.682 
43,160,146,188,203,11,829,710,No, 33.510 
44,291,105,0,205,6,859,797,No, 27.620 
45,298,107,0,186,6,879,815,Yes, 23.211 
46,318,126,0,210,6,861,737,Yes, 23.204 
47,280,92,118,207,9,883,679,No, 37.390 
48,287,94,121,188,9,904,696,No, 43.010 
49,332,0,170,160,6,900,806,Yes, 52.245 
50,326,0,167,174,6,884,792,No, 52.650 
51,320,0,163,188,9,866,776,No, 45.690 
52,342,136,0,225,11,770,747,Yes, 23.594 
53,356,142,0,193,11,801,778,Yes, 31.001 
54,309,0,142,218,10,912,680,No, 38.590 
55,322,0,149,186,8,951,709,No, 45.420 
56,159,193,0,208,12,821,818,Yes, 14.877 
57,307,110,0,189,10,904,765,No, 31.500 
58,313,124,0,205,11,846,758,Yes, 20.687 
59,143,131,168,217,6,891,672,No, 26.420 
60,140,128,164,237,6,869,656,Yes, 22.896 
61,278,0,117,205,9,875,799,No, 32.710 
62,288,0,121,177,7,908,829,No, 39.930 
63,299,107,0,210,10,881,745,Yes, 22.431 
64,291,104,0,231,9,857,725,No, 30.430 
65,265,86,111,195,6,833,790,No, 37.390 
66,159,0,248,175,12,1041,683,No, 35.390 
67,160,0,250,168,12,1049,688,Yes, 31.167 
68,166,0,260,183,13,859,827,No, 40.340 
69,320,127,164,211,6,721,723,Yes, 38.697 
70,336,134,0,222,6,756,787,No, 31.900 
71,276,90,116,180,9,870,768,No, 44.080 
72,313,112,0,220,10,794,789,No, 28.160 
73,322,116,0,196,10,818,813,No, 29.770 
74,294,106,136,207,6,747,778,No, 41.270 
75,146,106,137,209,6,875,765,Yes, 18.302 
76,149,109,139,193,6,892,780,Yes, 18.344 
77,159,0,187,176,11,990,789,Yes, 25.281 
78,261,78,100,201,9,864,761,No, 34.180 
79,140,1.4,198.1,174.9,4.4,1049.9,780.5,Yes, 23.175 
80,141.1,0.6,209.5,188.8,4.6,996.1,789.2,Yes, 23.573 
81,140.1,4.2,215.9,193.9,4.7,1049.5,710.1,No, 26.420 
82,140.1,11.8,226.1,207.8,4.9,1020.9,683.8,Yes, 20.353 
83,160.2,0.3,240,233.5,9.2,781,841.1,No, 36.190 
84,140.2,30.5,239,169.4,5.3,1028.4,742.7,Yes, 30.967 
85,140.2,44.8,234.9,171.3,5.5,1047.6,704,No, 33.780 
86,140.5,61.1,238.9,182.5,5.7,1017.7,681.4,Yes, 25.725 
87,143.3,91.8,239.8,200.8,6.2,964.8,647.1,Yes, 20.991 
88,194.3,0.3,240,234.2,8.9,780.6,811.3,Yes, 30.974 
89,150.4,110.9,239.7,168.1,6.5,1000.2,667.2,Yes, 32.217 
90,150.3,111.4,238.8,167.3,6.5,999.5,670.5,No, 38.190 
91,155.4,122.1,240,179.9,6.7,966.8,652.5,No, 35.520 
92,165.3,143.2,238.3,200.4,7.1,883.2,652.6,No, 32.840 
93,303.8,0.2,239.8,236.4,8.3,780.1,715.3,No, 44.480 
94,172,162.1,238.5,166,7.4,953.3,641.4,No, 41.540 
95,172.8,158.3,239.5,166.4,7.4,952.6,644.1,No, 41.810 
96,184.3,153.4,239.2,179,7.5,920.2,640.9,Yes, 33.672 
97,215.6,112.9,239,198.7,7.4,884,649.1,Yes, 33.491 
98,295.3,0,239.9,236.2,8.3,780.3,722.9,No, 44.080 
99,248.3,101,239.1,168.9,7.7,954.2,640.6,No, 49.970 
100,248,101,239.9,169.1,7.7,949.9,644.1,No, 50.230 
101,258.8,88,239.6,175.3,7.6,938.9,646,Yes, 43.461 
102,297.1,40.9,239.9,194,7.5,908.9,651.8,Yes, 44.639 
103,348.7,0.1,223.1,208.5,9.6,786.2,758.1,No, 48.770 
